Order Date,Segment,Market,Sales,Quantity,Profit
21-08-2014,Home Office,EU,327.24,6,156.96
06-08-2013,Consumer,APAC,651.348,2,-50.712
20-04-2014,Corporate,EU,667.539,3,-31.491
22-01-2014,Corporate,APAC,370.152,2,-74.088
28-10-2014,Corporate,US,556.665,5,6.549
04-03-2014,Consumer,EU,656.91,9,-65.88
03-06-2014,Consumer,EU,1428.84,8,555.48
25-02-2014,Corporate,EU,672.48,4,87.36
23-11-2014,Corporate,EU,754.758,6,201.258
12-08-2013,Consumer,EU,259.2,5,38.85
28-07-2014,Consumer,LATAM,706.4,4,240.16
29-11-2013,Corporate,EU,535.734,3,41.634
19-03-2011,Corporate,US,323.976,3,28.3479
14-06-2014,Corporate,LATAM,569.184,2,14.224
10-07-2012,Consumer,LATAM,932.992,4,314.832
03-12-2014,Consumer,EU,715.86,6,250.38
02-01-2012,Consumer,APAC,413.37,3,115.74
17-01-2014,Consumer,APAC,1008.063,3,28.773
13-08-2011,Consumer,APAC,769.14,8,-20.7
31-01-2013,Consumer,APAC,677.8776,4,-24.6024
16-11-2012,Home Office,US,523.25,5,141.2775
01-11-2012,Consumer,LATAM,323.79112,2,5.83112
04-06-2012,Consumer,US,989.97,3,395.988
18-06-2013,Consumer,US,219.84,4,107.7216
26-06-2013,Consumer,APAC,753.72,2,60.24
12-08-2013,Consumer,Africa,1035,4,41.4
12-11-2014,Consumer,APAC,621,12,99.36
14-05-2011,Consumer,LATAM,952.7,7,104.72
03-09-2014,Consumer,US,1577.94,3,757.4112
19-09-2014,Home Office,EMEA,1003.02,2,30.06
15-12-2014,Consumer,EU,306.81,3,64.35
14-10-2011,Corporate,LATAM,712.584,9,-451.476
17-05-2013,Corporate,APAC,458.136,3,167.976
04-12-2014,Consumer,EU,1054.68,4,263.64
15-08-2013,Corporate,EU,826.902,2,-91.878
04-03-2011,Consumer,US,354.9,5,17.745
03-12-2014,Corporate,US,906.68,5,68.001
12-09-2012,Consumer,APAC,249.99,13,104.91
08-09-2011,Consumer,US,1740.06,9,-24.858
02-12-2011,Consumer,EU,370.818,3,-41.202
11-06-2014,Home Office,US,514.165,5,-30.245
15-12-2014,Corporate,LATAM,413.904,4,-551.936
07-05-2011,Consumer,US,872.32,4,244.2496
16-05-2014,Home Office,LATAM,890.15612,7,131.91612
21-11-2014,Corporate,APAC,509.4,3,5.04
04-12-2013,Corporate,APAC,450.441,3,105.021
27-05-2011,Corporate,APAC,735.156,12,-0.324
08-11-2012,Corporate,APAC,756.81,5,210.21
22-01-2013,Home Office,Africa,316.74,1,69.66
07-06-2013,Home Office,LATAM,664.36,2,166.08
23-12-2013,Consumer,EU,1629.2205,3,402.4305
16-05-2013,Home Office,Africa,332.64,6,66.42
29-05-2014,Consumer,APAC,838.62,6,176.04
18-11-2014,Home Office,EU,356.16,7,163.8
20-09-2014,Consumer,EU,680.76,4,258.6
08-03-2012,Consumer,US,373.08,6,82.0776
16-07-2013,Corporate,APAC,569.55,5,0
23-08-2012,Corporate,EU,234.276,7,-228.564
09-01-2014,Corporate,EU,1020.612,4,-48.108
20-07-2011,Consumer,Africa,297.96,4,113.16
20-12-2013,Consumer,APAC,988.632,8,395.352
04-06-2013,Corporate,EU,347.67,3,65.97
10-05-2013,Consumer,APAC,457.92,9,0
09-01-2013,Consumer,Africa,645.54,1,148.47
13-08-2013,Corporate,EU,244.2,5,29.25
11-04-2011,Consumer,US,335.944,7,41.993
16-01-2012,Home Office,APAC,639.84,2,307.08
15-10-2013,Corporate,LATAM,1154.90556,9,205.94556
10-09-2011,Consumer,EU,284.1,5,42.6
24-12-2012,Consumer,US,590.058,7,-786.744
20-09-2013,Home Office,LATAM,599.34,7,275.66
01-08-2013,Corporate,APAC,366.84,4,21.96
05-10-2012,Corporate,EMEA,495.42,2,232.8
12-02-2013,Corporate,EU,535.05,5,128.4
17-04-2012,Home Office,LATAM,750.97504,8,36.09504
02-04-2013,Corporate,EU,227.28,8,95.28
22-07-2014,Consumer,EU,264.6,5,121.65
05-11-2013,Consumer,APAC,459.513,3,5.103
30-05-2011,Corporate,US,235.95,3,77.8635
05-12-2011,Corporate,US,348.488,7,117.6147
30-12-2013,Consumer,APAC,1635.255,5,-127.245
01-12-2012,Consumer,EU,511.92,9,4.86
20-09-2011,Consumer,EU,973.32,4,486.6
22-12-2012,Home Office,Africa,410.76,1,176.61
15-11-2013,Consumer,APAC,370.26,6,55.44
06-06-2012,Consumer,APAC,293.112,6,-9.828
30-05-2012,Consumer,US,239.97,3,2.3997
25-09-2013,Corporate,Africa,653.52,8,39.12
28-12-2011,Consumer,Africa,513.72,4,5.04
06-10-2011,Corporate,APAC,538.56,2,166.92
09-12-2011,Home Office,EU,294.729,2,83.169
25-09-2014,Corporate,US,859.2,3,75.18
01-04-2014,Consumer,EU,166.275,5,-69.975
16-12-2012,Corporate,APAC,1447.56,3,564.48
08-12-2011,Consumer,APAC,769.662,6,170.982
02-07-2012,Home Office,APAC,1101.5676,12,139.6476
13-06-2012,Corporate,US,899.97,3,314.9895
27-11-2014,Consumer,LATAM,350.93672,2,125.85672
24-08-2011,Home Office,LATAM,557.2,7,139.3
15-03-2014,Consumer,EU,354.564,2,39.384
30-10-2013,Home Office,LATAM,376.128,6,-275.832
25-08-2014,Corporate,EU,954.36,3,95.4
21-08-2013,Consumer,EMEA,493.56,4,197.4
10-12-2014,Home Office,EU,231.132,4,-16.428
11-05-2013,Home Office,US,743.988,2,-123.998
24-07-2013,Consumer,APAC,897.372,4,-205.188
11-03-2013,Consumer,LATAM,698.04112,4,131.48112
03-08-2011,Home Office,APAC,712.8,3,128.25
23-02-2013,Home Office,Africa,659.52,12,230.76
26-12-2014,Consumer,LATAM,262.14,3,5.22
11-07-2013,Consumer,EU,460.08,4,0
31-10-2014,Consumer,LATAM,484.176,11,-137.324
20-05-2014,Home Office,US,681.408,12,42.588
21-01-2012,Consumer,Africa,357.36,1,117.9
10-04-2013,Home Office,LATAM,580.56,4,-261.28
30-12-2011,Corporate,US,328.776,3,28.7679
05-11-2013,Consumer,EU,343.95,5,10.2
23-06-2011,Corporate,EMEA,457.95,1,146.52
19-04-2013,Corporate,LATAM,915.9,5,-15.3
09-07-2013,Corporate,EU,360.3915,3,-21.2085
27-06-2012,Corporate,APAC,578.421,1,32.121
30-03-2012,Home Office,US,366.744,4,-110.0232
15-04-2013,Corporate,EU,515.862,2,-395.538
21-05-2012,Home Office,LATAM,930,3,455.7
18-08-2014,Consumer,EU,427.68,4,106.92
15-05-2014,Corporate,US,440.19,9,206.8893
18-12-2013,Consumer,EU,333.6,2,40.02
23-03-2013,Corporate,Africa,382.14,2,91.68
22-01-2011,Home Office,EU,666,5,119.85
15-03-2011,Consumer,APAC,379.89,9,52.92
02-10-2012,Consumer,LATAM,391.36,4,74.32
19-11-2014,Corporate,LATAM,705.072,3,-132.228
21-11-2014,Consumer,US,183.968,2,-25.2956
01-06-2013,Home Office,LATAM,680.848,7,-59.612
24-06-2014,Consumer,EU,604.908,4,47.028
09-10-2013,Consumer,LATAM,592.3,5,35.5
04-01-2013,Corporate,EU,258.9,5,95.7
20-02-2012,Consumer,US,286.79,7,74.5654
23-01-2012,Consumer,EMEA,848.4,4,322.32
19-08-2014,Corporate,EU,332.496,2,99.696
16-05-2012,Corporate,APAC,453.4788,4,136.5588
26-06-2012,Corporate,LATAM,303.984,6,-678.936
09-09-2011,Corporate,EU,1592.7,5,652.95
22-08-2014,Corporate,US,572.58,6,34.3548
27-01-2012,Consumer,US,2803.92,5,0
20-11-2012,Consumer,Canada,654.24,1,287.85
28-04-2014,Home Office,EU,667.9215,3,-110.0385
16-11-2011,Consumer,APAC,337.68,2,64.14
07-12-2014,Consumer,EU,327.564,3,-14.616
05-09-2014,Consumer,APAC,793.206,2,8.766
05-11-2012,Consumer,APAC,343.83,5,89.43
10-06-2014,Home Office,Africa,627.228,14,-1087.212
01-07-2012,Corporate,EU,1062.36,2,180.6
22-08-2014,Consumer,APAC,553.92,4,199.32
21-02-2011,Consumer,EU,1003.02,4,-942.9
08-10-2012,Home Office,APAC,1133.22,2,305.94
29-09-2014,Home Office,LATAM,735.408,3,82.728
18-09-2012,Corporate,EU,1140.75,3,239.49
24-10-2013,Consumer,LATAM,288.4,4,11.52
02-10-2014,Corporate,Africa,390.15,1,58.5
25-12-2012,Corporate,APAC,947.079,7,-0.021
26-09-2012,Home Office,LATAM,343.74,3,164.94
11-09-2014,Corporate,LATAM,1162.64,4,255.76
22-02-2014,Home Office,EU,886.41,5,98.46
22-08-2014,Consumer,EU,1233.63,3,234.36
17-06-2013,Home Office,EU,292.44,4,35.04
17-08-2012,Consumer,EU,1127.808,3,-126.882
07-11-2012,Corporate,APAC,697.5,2,-74.4
10-08-2012,Consumer,US,438.368,4,38.3572
15-01-2013,Home Office,EU,1275.12,7,497.28
11-10-2012,Consumer,APAC,657.84,4,164.4
10-07-2014,Consumer,APAC,669.12,8,280.8
02-05-2011,Corporate,APAC,337.23,3,10.08
21-06-2012,Consumer,LATAM,195.76,2,46.96
20-10-2014,Corporate,Canada,277.89,1,13.89
05-12-2012,Home Office,APAC,196.668,3,8.658
23-12-2014,Home Office,APAC,566.2062,3,-197.8038
20-01-2013,Home Office,EMEA,1021.14,6,387.9
16-07-2014,Home Office,EU,550.2,5,241.95
07-01-2013,Corporate,APAC,1091.25,3,196.38
05-09-2013,Consumer,APAC,1078.08,2,366.54
10-06-2014,Consumer,APAC,1215.36,8,413.04
19-09-2013,Home Office,LATAM,1034.4,5,227.5
21-05-2013,Corporate,LATAM,494.04,6,212.4
04-03-2013,Corporate,APAC,756.135,5,16.785
29-08-2014,Home Office,EU,819.6975,5,38.4975
03-09-2013,Consumer,Africa,2610.72,4,678.72
14-11-2013,Consumer,LATAM,966.4,5,-96.7
05-11-2013,Consumer,APAC,741.852,2,271.992
11-06-2012,Corporate,APAC,839.889,3,37.269
19-12-2014,Consumer,US,1141.938,9,139.5702
24-12-2012,Corporate,US,883.84,4,99.432
17-12-2012,Consumer,US,204.85,5,53.261
06-02-2012,Consumer,LATAM,216.888,7,-3.752
22-10-2014,Corporate,US,478.48,2,47.848
15-11-2011,Consumer,EU,727.5,2,79.98
18-11-2013,Consumer,EU,708.15,5,184.05
13-11-2012,Consumer,EU,643.824,6,-8.136
10-11-2014,Corporate,APAC,587.79,9,264.33
28-06-2014,Home Office,APAC,205.8,4,30.84
24-11-2012,Consumer,EU,1239,4,0
28-11-2013,Home Office,APAC,907.2,8,110.88
01-11-2013,Consumer,Canada,735.48,6,271.98
17-11-2014,Consumer,EU,743.4,5,89.1
04-09-2014,Consumer,APAC,444.42,4,153.06
05-11-2014,Corporate,APAC,339.192,4,-62.208
08-07-2014,Corporate,LATAM,409.8,5,73.7
11-06-2012,Corporate,US,563.808,4,21.1428
23-01-2014,Home Office,US,1126.02,3,56.301
18-01-2013,Home Office,EU,520.11,3,202.77
20-08-2012,Consumer,EU,632.34,9,56.7
05-02-2013,Home Office,US,342.37,7,160.9139
09-10-2014,Consumer,APAC,1144.5,7,263.13
12-11-2014,Consumer,EMEA,793.68,4,134.88
12-07-2012,Home Office,EU,1181.547,3,498.807
14-03-2012,Consumer,LATAM,429.6,8,176
17-12-2013,Consumer,APAC,1005.156,6,83.736
15-11-2012,Corporate,EU,734.94,6,190.98
17-03-2014,Corporate,EU,856.44,6,385.38
07-05-2014,Corporate,US,623.4648,7,-119.1918
15-11-2014,Consumer,LATAM,328.28,2,141.16
13-10-2014,Consumer,EU,610.077,2,-65.703
04-06-2012,Consumer,APAC,826.56,2,41.28
12-12-2012,Consumer,APAC,1175.58,6,117.54
30-09-2014,Consumer,EMEA,923.76,1,249.39
19-04-2011,Consumer,APAC,880.146,9,68.256
06-06-2014,Consumer,EU,1682.748,4,-56.172
04-05-2014,Corporate,APAC,772.776,2,-25.764
10-12-2011,Corporate,EU,304.56,2,104.88
02-11-2012,Home Office,APAC,437.94,6,-113.94
20-03-2013,Consumer,EU,1155.6,10,231
02-02-2013,Consumer,Africa,462.348,4,-46.332
23-07-2012,Consumer,EU,1141.8,2,411
17-08-2012,Corporate,Africa,254.52,4,-271.56
11-06-2013,Consumer,LATAM,417.42,9,70.92
02-09-2013,Home Office,EU,473.976,4,-244.944
19-11-2012,Home Office,EU,636.06,2,146.28
26-10-2012,Consumer,APAC,1140.48,8,-418.32
10-10-2011,Home Office,LATAM,904.032,6,101.592
18-07-2013,Home Office,Africa,459.24,4,100.92
10-06-2014,Corporate,LATAM,583.12,2,274.04
27-10-2011,Consumer,APAC,1285.47,9,565.38
11-08-2014,Corporate,EU,1158.3,9,231.66
02-06-2012,Corporate,LATAM,779.58,5,-376.82
23-09-2014,Home Office,EU,741.852,2,197.772
24-08-2012,Consumer,US,724.08,14,-135.765
22-06-2012,Consumer,APAC,622.14,2,87.06
04-10-2012,Consumer,EU,332.181,3,-22.149
22-11-2013,Corporate,EU,1508.85,5,45.15
20-12-2013,Consumer,APAC,751.2579,3,144.7479
30-10-2014,Consumer,EU,533.82,2,5.28
04-11-2014,Corporate,APAC,869.7,5,408.75
07-11-2012,Corporate,EU,369.1125,5,147.5625
19-09-2011,Consumer,EMEA,302.46,1,108.87
18-06-2013,Corporate,US,566.97,3,153.0819
16-03-2012,Consumer,EU,308.556,4,126.756
08-11-2013,Consumer,LATAM,759.44,2,250.6
02-02-2011,Corporate,EU,378.81,1,140.13
17-11-2014,Consumer,EU,275.7,5,52.35
09-06-2012,Consumer,US,355.36,4,92.3936
02-07-2014,Consumer,EU,907.011,7,-30.429
15-09-2012,Home Office,LATAM,485.904,3,36.384
02-10-2014,Corporate,LATAM,198.72,4,65.52
28-10-2014,Corporate,LATAM,266.72,8,16
04-06-2013,Corporate,EU,5726.16,10,-445.44
08-03-2013,Corporate,APAC,1931.94,3,734.13
05-07-2014,Home Office,LATAM,583.12,2,274.04
09-06-2011,Consumer,Africa,300.18,1,33
18-12-2013,Consumer,EU,1270.41,5,433.41
11-07-2013,Consumer,US,338.04,3,-33.804
02-07-2013,Consumer,EMEA,254.496,1,-362.664
26-07-2014,Consumer,EMEA,1116.36,14,368.34
19-06-2014,Corporate,LATAM,263.296,4,3.216
25-03-2013,Home Office,APAC,634.68,2,-84.66
11-12-2014,Consumer,APAC,195.39,3,46.89
10-05-2011,Corporate,EU,609.66,6,-231.84
04-12-2013,Consumer,US,581.96,2,104.7528
08-11-2014,Consumer,LATAM,883.792,13,287.092
18-05-2011,Consumer,EU,964.53,7,125.37
22-04-2011,Corporate,APAC,1243.9044,3,-134.8956
12-08-2014,Home Office,EU,561.087,3,211.887
26-12-2012,Consumer,Africa,535.68,2,16.02
06-09-2013,Consumer,LATAM,867.5,5,173.5
17-06-2011,Consumer,LATAM,412.8,3,181.62
07-12-2012,Consumer,APAC,457.14,1,45.69
01-04-2011,Consumer,EU,295.92,6,32.4
21-09-2013,Consumer,LATAM,680.5,5,74.8
16-05-2013,Home Office,APAC,788.67,2,-61.35
08-08-2014,Corporate,APAC,1039.08,4,93.48
02-11-2012,Corporate,EMEA,254.16,1,101.64
03-11-2014,Consumer,EMEA,459,1,215.73
30-07-2014,Corporate,LATAM,761.6,8,114.24
27-12-2012,Consumer,EU,246.48,8,68.88
16-08-2013,Consumer,US,705.544,7,70.5544
10-12-2014,Consumer,LATAM,1267.76,5,221.76
26-06-2014,Corporate,Canada,423.3,2,186.24
25-08-2014,Home Office,EU,370.575,1,115.275
22-07-2014,Consumer,EU,207.36,1,35.25
30-12-2013,Corporate,EU,596.4,8,101.28
17-05-2014,Consumer,EU,480.522,4,-28.278
08-11-2014,Home Office,US,761.544,7,66.6351
07-11-2012,Consumer,LATAM,549.24,6,76.8
19-09-2014,Consumer,EU,709.0275,5,-100.2225
05-11-2012,Consumer,APAC,267.36,2,117.6
17-10-2013,Consumer,APAC,333.153,3,88.803
30-09-2014,Corporate,EMEA,276.6,1,30.42
20-11-2012,Corporate,EU,723.168,9,-80.352
01-07-2014,Home Office,US,569.058,3,-178.8468
23-11-2011,Consumer,EU,583.38,7,244.86
06-04-2011,Corporate,US,653.55,3,111.1035
06-12-2013,Consumer,Africa,1480.68,12,592.2
02-02-2011,Corporate,APAC,692.328,2,-207.732
02-07-2013,Consumer,APAC,373.59,3,18.63
25-06-2011,Corporate,EMEA,458.4,4,68.76
13-01-2014,Consumer,Africa,293.85,1,61.68
26-08-2014,Consumer,LATAM,580.608,7,-154.952
24-12-2012,Consumer,APAC,911.52,6,309.78
01-11-2013,Corporate,APAC,763.92,4,381.96
14-06-2013,Home Office,APAC,759.96,3,30.33
16-08-2013,Consumer,EU,432.6,4,47.52
09-12-2012,Consumer,Africa,333.6,2,40.02
16-06-2014,Consumer,LATAM,2190.848,8,-410.912
28-11-2014,Consumer,EU,637.335,5,113.235
02-12-2014,Consumer,LATAM,575.92584,6,235.36584
20-12-2013,Consumer,LATAM,346.74,3,100.5
21-08-2014,Home Office,APAC,833.7,5,316.8
11-11-2014,Consumer,APAC,717.633,7,-79.737
21-09-2013,Corporate,Africa,711.12,2,28.44
13-08-2013,Corporate,APAC,212.76,8,73.08
09-10-2013,Consumer,EU,468.315,3,-281.025
11-03-2013,Consumer,EU,233.28,8,67.44
27-02-2014,Home Office,US,892.224,3,89.2224
05-05-2013,Home Office,APAC,750.735,5,175.035
30-08-2013,Consumer,APAC,947.916,4,200.076
25-05-2012,Corporate,US,467.04,4,58.38
05-02-2013,Home Office,US,167.96,2,78.9412
30-07-2011,Corporate,US,1367.84,8,259.8896
17-08-2011,Corporate,APAC,189.405,5,20.955
19-06-2014,Consumer,APAC,274.407,7,-94.143
28-12-2013,Corporate,APAC,456.192,6,-30.528
12-12-2013,Consumer,APAC,385.11,3,38.43
27-11-2013,Consumer,APAC,634.392,4,77.472
14-10-2014,Consumer,APAC,818.25,5,376.35
06-11-2013,Consumer,US,956.6648,7,-225.0976
31-01-2013,Corporate,APAC,1461.2895,3,-110.2905
02-09-2013,Home Office,APAC,1467.36,4,630.96
16-09-2014,Consumer,US,295.056,9,106.9578
02-10-2012,Corporate,EMEA,730.44,4,204.48
03-03-2011,Corporate,LATAM,751.872,3,56.352
14-01-2012,Consumer,APAC,693.84,4,194.16
30-10-2013,Consumer,LATAM,564.76,7,45.08
03-09-2012,Corporate,APAC,670.14,2,-128.52
07-05-2012,Consumer,LATAM,552.96,4,132.64
20-11-2014,Consumer,LATAM,975.12,5,-219.48
12-04-2013,Home Office,APAC,700.68,4,350.28
09-11-2012,Consumer,US,899.95,5,53.997
23-10-2014,Corporate,APAC,696.762,2,247.722
01-11-2012,Consumer,US,1399.93,7,601.9699
11-01-2013,Home Office,EU,799.83,3,167.94
18-12-2014,Corporate,US,481.32,4,125.1432
19-09-2013,Corporate,LATAM,680.6,5,129.3
14-06-2013,Corporate,APAC,402.9,10,177
25-12-2014,Home Office,US,842.376,3,105.297
19-03-2012,Corporate,US,1247.64,3,349.3392
19-09-2013,Corporate,APAC,1470.78,6,514.62
23-05-2011,Corporate,APAC,1272.12,2,152.64
16-12-2013,Home Office,LATAM,963.2,7,423.78
02-07-2013,Consumer,LATAM,415.62,3,8.28
23-07-2013,Home Office,LATAM,580.6,2,238.04
26-08-2011,Corporate,EU,538.203,2,-19.017
10-09-2012,Consumer,APAC,677.6352,2,211.2552
20-03-2014,Corporate,LATAM,653.1,5,215.5
14-05-2013,Consumer,EU,555.552,2,61.692
14-03-2013,Corporate,US,379.96,5,47.495
06-09-2014,Corporate,EMEA,788.4,4,291.6
28-09-2014,Consumer,EU,692.58,14,110.46
01-03-2011,Home Office,US,634.116,6,-172.1172
08-12-2014,Consumer,APAC,521.82,6,15.48
16-05-2013,Consumer,EU,725.49,5,144.99
10-12-2013,Consumer,Africa,435.99,1,178.74
24-08-2013,Home Office,US,666.4,7,-33.32
20-04-2011,Home Office,Africa,667.32,4,19.92
10-12-2013,Consumer,LATAM,413.52,10,-89.68
11-03-2013,Home Office,LATAM,332.96,4,106.48
06-03-2013,Consumer,LATAM,664.36,2,166.08
17-12-2012,Consumer,US,302.94,3,48.4704
24-08-2011,Consumer,EU,182.196,2,-45.564
27-06-2012,Home Office,APAC,340.08,2,33.96
27-12-2012,Consumer,EU,245.484,2,29.964
09-05-2011,Consumer,LATAM,534.8,7,160.44
26-03-2012,Consumer,EU,412.8,2,185.76
27-03-2012,Consumer,APAC,381.375,5,-4.275
06-10-2014,Consumer,APAC,793.476,6,343.836
23-03-2012,Consumer,APAC,596.052,2,-218.568
11-09-2013,Corporate,US,519.68,7,58.464
18-06-2014,Consumer,EU,1019.52,8,79.2
10-12-2013,Corporate,EMEA,705.72,4,70.56
29-12-2014,Consumer,EU,486.642,4,143.082
27-05-2014,Corporate,APAC,521.37,3,26.01
20-11-2014,Home Office,LATAM,1064.2672,5,531.0672
22-06-2011,Consumer,EU,807.732,6,197.352
19-04-2012,Consumer,APAC,859.3065,3,-317.3535
26-10-2011,Corporate,APAC,883.2861,3,132.9561
24-08-2012,Consumer,US,999.432,7,124.929
01-12-2011,Corporate,EU,180.075,7,-90.195
23-04-2014,Consumer,Africa,386.4,8,46.32
14-10-2014,Consumer,EU,254.88,3,109.53
19-11-2014,Corporate,APAC,1713.96,4,228.48
05-11-2012,Home Office,EU,655.776,2,-36.444
09-07-2013,Consumer,US,823.96,5,51.4975
04-08-2011,Consumer,EMEA,735.12,6,29.34
24-02-2011,Consumer,LATAM,501.47504,2,84.39504
11-07-2013,Corporate,EU,596.7,3,167.04
30-12-2014,Corporate,EU,292.44,4,35.04
13-09-2013,Corporate,US,466.768,2,52.5114
01-03-2012,Consumer,EU,733.44,4,109.92
23-09-2014,Corporate,EU,486.999,3,-22.941
08-05-2014,Corporate,EMEA,497.28,8,198.72
11-05-2012,Consumer,LATAM,634.96752,3,-1.27248
03-09-2014,Corporate,LATAM,421.27576,2,58.23576
10-04-2014,Consumer,EU,509.04,3,91.62
16-01-2012,Consumer,APAC,728.64,4,225.84
04-08-2013,Corporate,APAC,517.65,7,124.11
10-06-2013,Home Office,APAC,583.92,4,216
13-10-2011,Home Office,US,315.2,4,6.304
21-03-2011,Corporate,LATAM,269.82,5,8.92
21-03-2011,Consumer,EU,287.94,2,20.1
22-12-2011,Home Office,APAC,1031.4,9,164.97
28-07-2014,Consumer,EU,915.1155,3,-98.5545
20-08-2013,Consumer,EU,954.45,5,296.85
09-09-2012,Consumer,LATAM,513.12,3,112.86
13-09-2013,Consumer,APAC,379.809,3,113.859
28-12-2011,Home Office,EU,1314.45,6,-630.99
21-12-2011,Corporate,APAC,530.22,4,-498.42
01-08-2013,Corporate,US,863.128,7,-32.3673
23-10-2012,Corporate,LATAM,820.992,6,20.472
16-11-2012,Home Office,APAC,351.2892,2,-50.8308
18-06-2014,Home Office,EMEA,1031.82,2,20.58
10-12-2013,Consumer,LATAM,293.28,4,131.92
22-06-2011,Corporate,EU,535.14,4,59.46
03-11-2014,Home Office,EU,934.185,7,-915.705
01-08-2011,Consumer,Africa,922.86,2,9.18
23-05-2012,Corporate,APAC,511.3962,2,160.1562
15-11-2012,Consumer,EMEA,298.92,1,131.52
28-11-2014,Corporate,EU,561.87,5,181.02
24-06-2013,Consumer,US,835.17,7,16.7034
09-05-2011,Consumer,LATAM,533.82,7,26.6
06-11-2013,Consumer,LATAM,663,5,159.1
20-01-2014,Consumer,US,542.94,3,152.0232
31-10-2014,Home Office,EU,221.454,2,-14.766
12-07-2013,Corporate,LATAM,731.82,3,146.34
22-03-2013,Consumer,US,528.43,5,0
05-12-2011,Corporate,APAC,916.8,8,146.64
11-03-2013,Consumer,APAC,870.588,6,367.488
03-04-2012,Consumer,LATAM,1073.024,4,201.184
29-08-2014,Consumer,EU,985.68,4,78.84
18-12-2013,Consumer,EU,520.68,2,93.72
07-05-2013,Corporate,APAC,435.0024,4,-214.0776
01-06-2013,Corporate,EU,737.586,6,147.366
10-02-2012,Home Office,APAC,1144.2048,8,206.7648
07-08-2014,Consumer,APAC,342.072,4,-57.048
04-09-2012,Home Office,Africa,487.38,2,82.8
24-04-2014,Corporate,Africa,366.84,1,117.36
10-09-2014,Corporate,US,628.81,7,12.5762
22-10-2013,Corporate,APAC,479.97,3,-364.86
25-03-2013,Home Office,APAC,462.642,4,11.082
18-11-2014,Consumer,EU,410.22,1,135.36
22-08-2013,Consumer,APAC,989.7,5,178.05
23-11-2012,Consumer,EU,321.36,1,112.47
19-12-2014,Corporate,APAC,940.32,3,141.03
21-09-2012,Consumer,US,887.84,8,17.7568
19-12-2012,Corporate,LATAM,583.12,2,274.04
30-11-2012,Consumer,APAC,540.36,3,16.2
17-05-2012,Consumer,EU,571.374,3,-19.116
30-12-2014,Consumer,APAC,387.261,5,-123.039
03-12-2012,Corporate,LATAM,615.24,2,12.28
26-08-2014,Consumer,APAC,591.3,3,218.7
21-04-2011,Corporate,APAC,584.352,4,-102.288
04-08-2014,Consumer,EU,340.2,7,146.16
27-08-2012,Consumer,APAC,786.618,7,227.178
23-04-2014,Corporate,APAC,451.818,6,75.258
02-09-2011,Consumer,US,1793.98,2,843.1706
29-09-2011,Corporate,LATAM,552.96,4,132.64
18-07-2012,Consumer,US,519.96,4,176.7864
08-03-2012,Consumer,APAC,631.512,2,-63.168
08-04-2013,Consumer,APAC,545.37,2,-298.41
30-06-2014,Home Office,EU,293.04,6,35.1
21-12-2011,Corporate,APAC,183.84,4,14.64
12-09-2013,Consumer,LATAM,755.3862,3,157.4262
28-01-2014,Home Office,APAC,506.88,6,20.16
13-11-2014,Consumer,APAC,712.3428,4,91.8228
18-12-2013,Corporate,APAC,433.62,11,8.58
25-03-2013,Home Office,APAC,639.6,5,38.25
16-08-2012,Consumer,APAC,231.36,4,64.68
19-09-2014,Corporate,LATAM,697.08304,4,333.80304
24-06-2013,Consumer,Africa,826.2,6,-633.42
03-07-2014,Consumer,APAC,252.84,7,68.25
23-08-2013,Corporate,EMEA,413.1,1,8.25
18-09-2013,Consumer,US,396,4,190.08
19-11-2012,Consumer,US,861.76,4,249.9104
08-11-2013,Consumer,US,359.97,3,100.7916
30-09-2013,Corporate,US,859.2,3,75.18
11-11-2014,Home Office,APAC,683.4,5,34.05
30-09-2013,Corporate,LATAM,1420.8,5,355.2
15-10-2012,Consumer,LATAM,643.02,7,102.76
08-12-2011,Corporate,APAC,415.44,3,149.49
25-10-2012,Consumer,LATAM,622.62,9,192.96
19-03-2012,Consumer,EU,1035.909,9,22.869
20-10-2014,Corporate,EU,396.333,9,87.993
13-06-2011,Corporate,EU,437.724,4,165.324
31-12-2013,Consumer,EU,911.52,6,54.54
03-11-2011,Corporate,EU,1200.312,8,373.272
13-12-2013,Corporate,US,383.952,6,76.7904
14-12-2013,Corporate,US,1114.272,4,41.7852
24-10-2011,Corporate,LATAM,2120.8,5,275.7
02-02-2012,Home Office,APAC,985.11,5,-225.24
07-02-2012,Consumer,APAC,1285.44,4,89.88
14-09-2013,Corporate,EU,1567.2,5,250.65
27-01-2012,Consumer,US,431.976,4,-100.7944
22-12-2012,Corporate,US,422.625,7,0
24-04-2013,Consumer,LATAM,872.32,2,8.72
16-05-2012,Corporate,LATAM,704.88,6,119.76
26-03-2012,Home Office,APAC,955.8675,7,229.2675
18-07-2013,Consumer,EU,768.51,3,169.02
18-11-2011,Home Office,APAC,931.77,7,242.13
17-06-2014,Home Office,LATAM,449.04,4,-164.72
25-06-2014,Consumer,APAC,368.5302,6,-55.7298
30-12-2014,Consumer,APAC,271.7631,3,-69.0669
14-03-2014,Consumer,US,465.16,2,120.9416
11-05-2011,Corporate,US,1212.96,8,-69.312
16-08-2013,Corporate,EU,797.04,4,95.64
19-12-2012,Consumer,EU,1081.302,4,101.742
31-10-2013,Corporate,APAC,293.085,5,45.585
28-09-2014,Consumer,EU,869.76,6,208.62
